STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,VAR,Variable,UNIT,Measure,COU,Country,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,PERSMYNB,Number of persons (head counts),DNK,Denmark,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,PERSMYNB,Number of persons (head counts),IRL,Ireland,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,PERSMYNB,Number of persons (head counts),ITA,Italy,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHHCA,Healthcare assistants employed in hospitals,PERSMYNB,Number of persons (head counts),KOR,Korea,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,PERSMYNB,Number of persons (head counts),NOR,Norway,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,PERSMYNB,Number of persons (head counts),PRT,Portugal,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,PERSMYNB,Number of persons (head counts),ESP,Spain,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,PERSMYNB,Number of persons (head counts),TUR,Türkiye,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHHCA,Healthcare assistants employed in hospitals,PERSMYNB,Number of persons (head counts),TUR,Türkiye,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,PERSMYNB,Number of persons (head counts),CHL,Chile,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,FTEEMPEF,Full-time equivalent persons (FTE),DNK,Denmark,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,FTEEMPEF,Full-time equivalent persons (FTE),IRL,Ireland,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,FTEEMPEF,Full-time equivalent persons (FTE),SVK,Slovak Republic,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,FTEEMPEF,Full-time equivalent persons (FTE),NOR,Norway,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,HOEMHASN,Associate nurses employed in hospitals,FTEEMPEF,Full-time equivalent persons (FTE),CHL,Chile,2020,,0,,A,,,,,,,
