VAR,Variable,UNIT,Measure,COU,Country,TIME_PERIOD,Year,Value,OBS_STATUS
MIDWMIDW,Practising midwives,PERSMYNB,Number of persons (head counts),AUT,Austria,2000,,1522.0,A
MIDWMIPA,Professionally active midwives,PERSMYNB,Number of persons (head counts),AUT,Austria,2000,,1522.0,A
MIDWMILP,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),CAN,Canada,2000,,356.0,A
MIDWMIDW,Practising midwives,PERSMYNB,Number of persons (head counts),DNK,Denmark,2000,,1252.0,A
MIDWMIPA,Professionally active midwives,PERSMYNB,Number of persons (head counts),DNK,Denmark,2000,,1290.0,A
MIDWMILP,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),DNK,Denmark,2000,,1910.0,A
MIDWMILP,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),FIN,Finland,2000,,5819.0,A
MIDWMIPA,Professionally active midwives,PERSMYNB,Number of persons (head counts),FRA,France,2000,,15263.0,A
MIDWMIDW,Practising midwives,PERSMYNB,Number of persons (head counts),DEU,Germany,2000,,17000.0,A
MIDWMIPA,Professionally active midwives,PERSMYNB,Number of persons (head counts),DEU,Germany,2000,,17000.0,A
MIDWMIDW,Practising midwives,PERSMYNB,Number of persons (head counts),HUN,Hungary,2000,,2104.0,A
MIDWMIDW,Practising midwives,PERSMYNB,Number of persons (head counts),ISL,Iceland,2000,,206.0,A
MIDWMIPA,Professionally active midwives,PERSMYNB,Number of persons (head counts),ISL,Iceland,2000,,206.0,A
MIDWMILP,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),ITA,Italy,2000,,14830.0,A
MIDWMIDW,Practising midwives,PERSMYNB,Number of persons (head counts),LUX,Luxembourg,2000,,97.0,A
MIDWMIPA,Professionally active midwives,PERSMYNB,Number of persons (head counts),NLD,Netherlands,2000,,1825.0,A
MIDWMILP,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),NLD,Netherlands,2000,,2210.0,A
MIDWMIDW,Practising midwives,PERSMYNB,Number of persons (head counts),NLD,Netherlands,2000,,1651.0,A
