VAR,Variable,UNIT,Measure,COU,Country,TIME_PERIOD,Year,Value,OBS_STATUS
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2020,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2020,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2020,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2019,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2019,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2019,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2019,,0.0,A
